Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
t3xture,GEN,"Neon, Raze, Jett",255,1.23,258.2,1.44,74.0,159.5,0.94,0.19,0.21,0.17,28.0,37%,7/19,27,239,166,48,54,43,masters_toronto_2025
Spring,WOL,"Omen, Viper, Astra",349,1.21,244.1,1.23,74.0,160.1,0.85,0.32,0.13,0.09,29.0,7%,2/29,26,295,240,111,47,31,masters_toronto_2025
Verno,MIBR,Sova,71,1.18,230.5,1.02,70.0,157.6,0.79,0.3,0.04,0.04,28.0,14%,3/22,19,56,55,21,3,3,masters_toronto_2025
Alfajer,FNC,"Iso, Raze, Cypher",419,1.17,257.9,1.3,73.0,167.6,0.94,0.14,0.17,0.11,32.0,12%,4/33,29,392,301,60,73,45,masters_toronto_2025
zekken,SEN,"Neon, Raze, Yoru",249,1.17,237.5,1.21,74.0,147.2,0.81,0.26,0.19,0.21,24.0,17%,3/18,27,202,167,65,47,53,masters_toronto_2025
trent,G2,"Fade, Sova, Tejo",198,1.17,214.2,1.22,81.0,138.0,0.77,0.25,0.1,0.07,35.0,13%,4/30,22,152,125,49,19,13,masters_toronto_2025
leaf,G2,"Viper, Killjoy, Vyse",198,1.15,230.3,1.21,75.0,148.6,0.81,0.26,0.08,0.08,24.0,29%,10/35,24,161,133,51,15,16,masters_toronto_2025
Chronicle,FNC,"Cypher, Viper, Sage",419,1.13,207.6,1.18,72.0,141.1,0.72,0.3,0.08,0.06,26.0,14%,7/51,27,302,257,127,35,25,masters_toronto_2025
whzy,BLG,"Jett, Neon, Raze",179,1.13,253.1,1.21,68.0,155.5,0.89,0.16,0.19,0.17,28.0,13%,2/16,29,160,132,29,34,31,masters_toronto_2025
f0rsakeN,PRX,"Omen, Fade, Sova",387,1.12,208.9,1.06,74.0,137.5,0.72,0.4,0.1,0.08,26.0,31%,9/29,25,280,263,156,37,31,masters_toronto_2025
Jinggg,PRX,"Raze, Omen",387,1.10,229.1,1.15,73.0,151.9,0.78,0.26,0.14,0.13,23.0,8%,2/25,26,303,264,100,54,50,masters_toronto_2025
Keiko,TL,"Harbor, Omen, Iso",187,1.10,199.3,1.17,72.0,132.9,0.76,0.17,0.09,0.07,45.0,13%,4/31,29,142,121,32,16,13,masters_toronto_2025
N4RRATE,SEN,"Fade, Breach, Tejo",249,1.08,219.5,1.06,75.0,140.1,0.74,0.34,0.06,0.09,24.0,25%,5/20,21,185,174,85,16,23,masters_toronto_2025
d4v41,PRX,"Viper, Vyse, Sage",387,1.07,189.4,1.12,73.0,131.7,0.72,0.23,0.05,0.07,26.0,10%,6/61,29,277,247,88,21,26,masters_toronto_2025
happywei,XLG,"Cypher, Killjoy",75,1.06,223.0,0.97,61.0,147.0,0.76,0.17,0.16,0.15,45.0,12%,2/17,20,57,59,13,12,11,masters_toronto_2025
